Bhayubha[192.168.205.79] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 1063.491/1063.491/1063.491/0.000 ms
Bhayubha[192.168.205.79] (DOWN) - 1 packets transmitted, 0 received, 100% packet loss, time 0ms
Bhayubha[192.168.205.79] (DOWN) - 1 packets transmitted, 0 received, 100% packet loss, time 0ms
Bhayubha[192.168.205.79] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Bhayubha[192.168.205.79] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 566.796/566.796/566.796/0.000 ms
Bhayubha[192.168.205.79] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 509.298/509.298/509.298/0.000 ms
Bhayubha[192.168.205.79] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 32.922/32.922/32.922/0.000 ms
Bhayubha[192.168.205.79] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 13.782/13.782/13.782/0.000 ms
Bhayubha[192.168.205.79] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 68.518/68.518/68.518/0.000 ms
Bhayubha[192.168.205.79] (DOWN) - 1 packets transmitted, 0 received, 100% packet loss, time 0ms
Bhayubha[192.168.205.79] (DOWN) - 1 packets transmitted, 0 received, 100% packet loss, time 0ms
Bhayubha[192.168.205.79] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 4200.254/4200.254/4200.254/0.000 ms
Bhayubha[192.168.205.79] (DOWN) - 1 packets transmitted, 0 received, 100% packet loss, time 0ms
Bhayubha[192.168.205.79] (DOWN) - 1 packets transmitted, 0 received, 100% packet loss, time 0ms
Bhayubha[192.168.205.79] (DOWN) - 1 packets transmitted, 0 received, 100% packet loss, time 0ms
Bhayubha[192.168.205.79] (DOWN) - 1 packets transmitted, 0 received, 100% packet loss, time 0ms
Bhayubha[192.168.205.79] (DOWN) - 1 packets transmitted, 0 received, 100% packet loss, time 0ms
Bhayubha[192.168.205.79] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 2146.083/2146.083/2146.083/0.000 ms
Bhayubha[192.168.205.79] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 6989.152/6989.152/6989.152/0.000 ms
Bhayubha[192.168.205.79] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 5415.951/5415.951/5415.951/0.000 ms
Bhayubha[192.168.205.79] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 241.960/241.960/241.960/0.000 ms
Bhayubha[192.168.205.79] (DOWN) - 1 packets transmitted, 0 received, 100% packet loss, time 0ms
Bhayubha[192.168.205.79] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Bhayubha[192.168.205.79] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Bhayubha[192.168.205.79] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 1084.661/1084.661/1084.661/0.000 ms
Bhayubha[192.168.205.79] (DOWN) - 1 packets transmitted, 0 received, 100% packet loss, time 0ms
